,C1,B1,Tem_1
2020-03-24 12:00:00,1.76,-0.6080185894183311,33.87
2020-03-24 13:00:00,1.76,-0.6080439595922321,33.87
2020-03-24 14:00:00,1.76,-0.6080716361455786,33.87
2020-03-24 15:00:00,1.76,-0.6080993126989253,33.87
2020-03-24 16:00:00,1.76,-0.6081269892522717,33.87
2020-03-24 17:00:00,1.76,-0.6081546658056183,33.87
2020-03-24 18:00:00,1.76,-0.608182342358965,33.87
2020-03-24 19:00:00,1.76,-0.6082100189123114,33.87
2020-03-24 20:00:00,1.76,-0.608237695465658,33.87
2020-03-24 21:00:00,1.76,-0.6082653720190045,33.87
2020-03-24 22:00:00,1.76,-0.6082930485723511,33.87
2020-03-24 23:00:00,1.76,-0.6083207251256977,33.87
2020-03-25 00:00:00,1.76,-0.6083484016790442,33.87
2020-03-25 01:00:00,1.76,-0.6083760782323908,33.87
2020-03-25 02:00:00,1.76,-0.6084037547857373,33.87
2020-03-25 03:00:00,1.76,-0.6084314313390838,33.87
2020-03-25 04:00:00,1.76,-0.6084591078924305,33.87
2020-03-25 05:00:00,1.76,-0.608486784445777,33.87
2020-03-25 06:00:00,1.76,-0.6085144609991235,33.87
2020-03-25 07:00:00,1.76,-0.6085421375524701,33.87
2020-03-25 08:00:00,1.76,-0.6085698141058167,33.87
2020-03-25 09:00:00,1.76,-0.6085974906591632,33.87
2020-03-25 10:00:00,1.76,-0.6086251672125098,33.87
2020-03-25 11:00:00,1.76,-0.6086528437658564,33.87
2020-03-25 12:00:00,1.76,-0.6086805203192028,33.87
2020-03-25 13:00:00,1.76,-0.6087081968725495,33.87
2020-03-25 14:00:00,1.76,-0.6087358734258961,33.87
2020-03-25 15:00:00,1.76,-0.6087635499792425,33.87
2020-03-25 16:00:00,1.76,-0.6087912265325891,33.87
2020-03-25 17:00:00,1.76,-0.6088189030859357,33.87
2020-03-25 18:00:00,1.76,-0.6088465796392822,33.87
2020-03-25 19:00:00,1.76,-0.6088742561926288,33.87
2020-03-25 20:00:00,1.76,-0.6089019327459754,33.87
2020-03-25 21:00:00,1.76,-0.6089296092993219,33.87
2020-03-25 22:00:00,1.76,-0.6089572858526684,33.87
2020-03-25 23:00:00,1.76,-0.6089849624060151,33.87
2020-03-26 00:00:00,1.76,-0.6090126389593616,33.87
2020-03-26 01:00:00,1.76,-0.6090403155127081,33.87
2020-03-26 02:00:00,1.76,-0.6090679920660548,33.87
2020-03-26 03:00:00,1.76,-0.6090956686194012,33.87
2020-03-26 04:00:00,1.76,-0.6091233451727478,33.87
2020-03-26 05:00:00,1.76,-0.6091510217260944,33.87
2020-03-26 06:00:00,1.76,-0.6091786982794409,33.87
2020-03-26 07:00:00,1.76,-0.6092063748327875,33.87
2020-03-26 08:00:00,1.76,-0.609234051386134,33.87
2020-03-26 09:00:00,1.76,-0.6092617279394806,33.87
2020-03-26 10:00:00,1.76,-0.6092894044928272,33.87
2020-03-26 11:00:00,1.76,-0.6093170810461737,33.87
2020-03-26 12:00:00,1.76,-0.6093447575995203,33.87
2020-03-26 13:00:00,1.76,-0.6093724341528668,33.87
2020-03-26 14:00:00,1.76,-0.6094001107062134,33.87
2020-03-26 15:00:00,1.76,-0.60942778725956,33.87
2020-03-26 16:00:00,1.76,-0.6094554638129065,33.87
2020-03-26 17:00:00,1.76,-0.6094831403662531,33.87
2020-03-26 18:00:00,1.76,-0.6095108169195995,33.87
2020-03-26 19:00:00,1.76,-0.6095384934729462,33.87
2020-03-26 20:00:00,1.76,-0.6095661700262928,33.87
2020-03-26 21:00:00,1.76,-0.6095938465796392,33.87
2020-03-26 22:00:00,1.76,-0.6096215231329859,33.87
2020-03-26 23:00:00,1.76,-0.6096491996863324,33.87
2020-03-27 00:00:00,1.76,-0.6096768762396789,33.87
2020-03-27 01:00:00,1.76,-0.6097045527930256,33.87
2020-03-27 02:00:00,1.76,-0.6097322293463721,33.87
2020-03-27 03:00:00,1.76,-0.6097599058997186,33.87
2020-03-27 04:00:00,1.76,-0.6097875824530651,33.87
2020-03-27 05:00:00,1.76,-0.6098152590064118,33.87
2020-03-27 06:00:00,1.76,-0.6098429355597582,33.87
2020-03-27 07:00:00,1.76,-0.6098706121131048,33.87
2020-03-27 08:00:00,1.76,-0.6098982886664515,33.87
2020-03-27 09:00:00,1.76,-0.6099259652197979,33.87
2020-03-27 10:00:00,1.76,-0.6099536417731445,33.87
2020-03-27 11:00:00,1.76,-0.609981318326491,33.87
2020-03-27 12:00:00,1.7595,-0.6234995771637682,34.24766666666667
2020-03-27 13:00:00,1.75975,-0.6301666666666667,34.51241666666667
2020-03-27 14:00:00,1.7546666666666666,-0.62975,34.95975
2020-03-27 15:00:00,1.76175,-0.6418333333333333,37.60075
2020-03-27 16:00:00,1.7959166666666666,-0.6286666666666666,36.94316666666667
2020-03-27 17:00:00,1.7575,-0.5668333333333333,30.035666666666668
2020-03-27 18:00:00,1.7276666666666667,-0.53675,26.789083333333334
2020-03-27 19:00:00,1.7140833333333334,-0.5248333333333334,25.669666666666668
2020-03-27 20:00:00,1.7085,-0.5161666666666667,24.821666666666665
2020-03-27 21:00:00,1.7005833333333333,-0.5125833333333333,24.00183333333333
2020-03-27 22:00:00,1.692583333333333,-0.4995,23.0035
2020-03-27 23:00:00,1.68625,-0.48983333333333334,22.328166666666668
2020-03-28 00:00:00,1.6760833333333334,-0.4790833333333333,21.299166666666668
2020-03-28 01:00:00,1.67425,-0.47108333333333335,20.278666666666666
2020-03-28 02:00:00,1.6685,-0.4648333333333333,19.56275
2020-03-28 03:00:00,1.6655,-0.45916666666666667,19.104833333333332
2020-03-28 04:00:00,1.6604166666666667,-0.45283333333333337,18.510083333333334
2020-03-28 05:00:00,1.6522499999999998,-0.45408333333333334,18.012249999999998
2020-03-28 06:00:00,1.6736666666666666,-0.47625,18.96475
2020-03-28 07:00:00,1.7179166666666668,-0.5705833333333333,27.28083333333333
2020-03-28 08:00:00,1.76275,-0.6931666666666666,38.829166666666666
2020-03-28 09:00:00,1.9475833333333334,-0.7274166666666666,45.46716666666667
2020-03-28 10:00:00,1.838666666666667,-0.6358333333333334,38.03458333333333
2020-03-28 11:00:00,1.7795833333333335,-0.6195833333333333,35.74333333333333
2020-03-28 12:00:00,1.8005,-0.6394166666666667,36.12791666666667
2020-03-28 13:00:00,1.7908333333333333,-0.6349166666666667,35.20408333333333
2020-03-28 14:00:00,1.7565833333333332,-0.6177499999999999,35.302416666666666
